criterion,rank_in_list,sido,sgg,adm_nm,score,score_adj,n_clinic,n_clinic_500m,n_clinic_1km,p_raw,ratio_40plus,density_per_10k,t_raw,t_transit,nearest_station,station_dist_m,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,town_tag,adm_cd
med_desert,1,서울특별시,관악구,서울특별시 관악구 대학동,0.6401840490797546,0.6401840490797546,8,0,1,58775.32329375,0.4652,0.6331909024813045,28,41,관악산,746,True,False,False,,11210730
med_desert,2,경기도,하남시,경기도 하남시 초이동,0.549808282208589,0.549808282208589,0,0,0,31430.606596484376,0.6923,0.0,30,74,길동생태공원(계획),1777,True,False,False,,31180600
med_desert,3,경기도,고양시덕양구,경기도 고양시덕양구 행주동,0.5253067484662577,0.5253067484662577,3,0,0,26289.13649453125,0.6949,0.7929891498846552,27,54,능곡,963,True,False,False,,31101640
med_desert,4,서울특별시,서초구,서울특별시 서초구 양재2동,0.5163343558282208,0.5163343558282208,8,0,2,34830.72850195313,0.5565,1.2781817066359538,29,55,양재시민의숲,1045,True,False,False,,11220670
med_desert,5,경기도,고양시일산서구,경기도 고양시일산서구 덕이동,0.5151840490797546,0.5151840490797546,4,0,4,42402.620749999995,0.6112,0.5765681358268403,45,70,탄현,1302,True,False,False,gen_1,31104513
med_desert,6,경기도,하남시,경기도 하남시 감북동,0.5107745398773006,0.5107745398773006,0,0,0,21937.2028890625,0.6514,0.0,34,59,중앙보훈병원,1385,True,False,False,,31180660
med_desert,7,경기도,과천시,경기도 과천시 과천동,0.5091641104294479,0.5091641104294479,0,0,2,19625.25509296875,0.6197,0.0,33,23,선바위,810,True,False,False,,31110550
med_desert,8,경기도,성남시중원구,경기도 성남시중원구 도촌동,0.5052914110429447,0.5052914110429447,7,0,3,41750.423812500005,0.5944,0.996588685826529,41,73,야탑,2146,True,False,False,,31022610
med_desert,9,서울특별시,서초구,서울특별시 서초구 내곡동,0.4980828220858896,0.4980828220858896,3,0,2,23197.2004640625,0.6133,0.7931560546930673,32,54,청계산입구,1601,True,False,False,,11220680
med_desert,10,경기도,성남시수정구,경기도 성남시수정구 신촌동,0.49582055214723925,0.49582055214723925,0,0,0,16964.31941953125,0.4629,0.0,35,62,가천대,1880,True,False,False,,31021640
low_density,1,서울특별시,노원구,서울특별시 노원구 하계2동,0.8279524539877301,0.8279524539877301,0,2,22,104882.5951375,0.5944,0.0,27,40,하계,317,False,False,False,,11110590
low_density,2,경기도,안양시동안구,경기도 안양시동안구 갈산동,0.7211273006134971,0.7211273006134971,0,0,25,76713.561034375,0.6106,0.0,37,46,범계,1851,False,True,False,,31042670
low_density,3,서울특별시,종로구,서울특별시 종로구 창신3동,0.6940567484662578,0.6940567484662578,0,2,30,74080.7532140625,0.6339,0.0,26,30,창신,183,False,False,False,,11010690
low_density,4,경기도,광명시,경기도 광명시 광명1동,0.6252300613496933,0.6252300613496933,0,4,35,74403.155640625,0.491,0.0,31,41,개봉,820,False,False,False,,31060510
low_density,5,경기도,부천시원미구,경기도 부천시원미구 소사동,0.8825153374233129,0.8825153374233129,1,1,13,136828.4319,0.7188,0.05253294143759021,39,46,소사,308,False,False,False,,31051551
low_density,6,서울특별시,노원구,서울특별시 노원구 상계10동,0.727377300613497,0.727377300613497,1,5,52,107348.7609984375,0.5823,0.05424375601395861,35,50,노원,563,False,False,False,,11110740
low_density,7,서울특별시,중랑구,서울특별시 중랑구 면목5동,0.7743098159509204,0.7743098159509204,1,5,54,110406.83361249999,0.6143,0.055639671920674524,25,46,사가정,809,False,False,False,,11070550
low_density,8,서울특별시,양천구,서울특별시 양천구 신월5동,0.8034509202453989,0.8034509202453989,1,2,26,99213.86348906251,0.6197,0.06246102895371238,26,57,화곡,976,False,False,False,,11150610
low_density,9,서울특별시,금천구,서울특별시 금천구 독산4동,0.6537576687116564,0.6537576687116564,1,8,28,106281.2660625,0.6696,0.06300263675878998,33,44,독산,1303,False,False,False,,11180550
low_density,10,서울특별시,마포구,서울특별시 마포구 연남동,0.7727760736196319,0.7727760736196319,1,1,26,82495.19120624999,0.5244,0.06356734160284853,21,28,홍대입구,719,False,False,False,,11140710
