rank,adm_cd,sido,sgg,adm_nm,score,c_norm,p_norm,t_norm,c_raw,p_raw,t_raw,t_transit,pop_total,pop_40plus,ratio_40plus,catchment_pop_1_5km,catchment_pop_40plus,n_clinic,n_clinic_gi,n_within_radius,density_per_10k,n_clinic_500m,n_clinic_1km,n_clinic_2km,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,nearest_station,station_dist_m,n_clinic_station_500m,adm_cd10
20,31051601,경기도,부천시원미구,경기도 부천시원미구 도당동,0.7934049079754601,0.9003067484662577,0.7361963190184049,0.5697852760736196,0.6370771531259962,93888.7313203125,28,65,19765,12718,0.6435,145903.234375,93888.7313203125,4,0,1,0.27415430625199255,1,4,77,False,False,False,춘의,1013,1,4119260000
21,11200730,서울특별시,동작구,서울특별시 동작구 사당2동,0.7920245398773006,0.9279141104294478,0.6134969325153374,0.9838957055214724,0.48373831106257187,81992.67887812499,11,29,27614,16851,0.6102,134370.171875,81992.67887812499,13,0,0,0.9674766221251437,0,11,96,False,True,False,동작,845,0,1159063000
22,31052591,경기도,부천시소사구,경기도 부천시소사구 괴안동,0.7863496932515337,0.7852760736196319,0.9478527607361963,0.06441717791411039,1.6086225238307634,119441.1577125,44,47,18135,11765,0.6487,184123.875,119441.1577125,4,0,3,0.21724504766152677,3,37,65,False,False,False,역곡,863,29,4119457000
23,31051531,경기도,부천시원미구,경기도 부천시원미구 심곡3동,0.7839723926380369,0.6733128834355828,1.0,0.3098159509202454,2.5935398049139673,139512.798984375,35,58,10567,6895,0.6525,213812.71875,139512.798984375,4,0,5,0.187079609827935,5,60,153,False,False,False,부천,955,34,4119253000
24,11070700,서울특별시,중랑구,서울특별시 중랑구 신내2동,0.7769171779141104,0.9478527607361963,0.7776073619631901,0.004601226993865004,0.32916612448548505,98035.60451562499,999,48,18940,12223,0.6454,151898.984375,98035.60451562499,10,0,0,0.6583322489709701,0,23,115,False,True,False,봉화산,741,5,1126069000
25,11070550,서울특별시,중랑구,서울특별시 중랑구 면목5동,0.7743098159509204,0.6779141104294479,0.8926380368098159,0.6756134969325154,2.5278198359603374,110406.83361249999,25,46,13906,8542,0.6143,179727.875,110406.83361249999,1,0,5,0.055639671920674524,5,54,143,False,False,False,사가정,809,25,1126055000
26,11100540,서울특별시,도봉구,서울특별시 도봉구 쌍문4동,0.7742331288343559,0.7914110429447853,0.9233128834355828,0.0260736196319018,1.582584239795728,115663.71530000001,48,50,17581,11195,0.6368,181632.71875,115663.71530000001,3,0,3,0.16516847959145578,3,32,123,False,False,False,쌍문,893,13,1132068100
27,11240780,서울특별시,송파구,서울특별시 송파구 잠실7동,0.7729294478527607,0.8512269938650306,0.7085889570552147,0.7101226993865031,1.0712964025394887,90705.83885937501,24,39,9283,6003,0.6467,140259.53125,90705.83885937501,2,0,2,0.14259280507897748,2,21,124,False,False,False,종합운동장,395,4,1171072000
28,11140710,서울특별시,마포구,서울특별시 마포구 연남동,0.7727760736196319,0.9217791411042945,0.6180981595092024,0.7983128834355828,0.5317836708014243,82495.19120624999,21,28,13819,7247,0.5244,157313.484375,82495.19120624999,1,0,1,0.06356734160284853,1,26,139,False,False,False,홍대입구,719,12,1144071000
29,11110510,서울특별시,노원구,서울특별시 노원구 월계1동,0.769478527607362,0.7085889570552147,0.8987730061349694,0.4616564417177914,2.2674184691228607,111361.04435,31,39,20147,12000,0.5956,186972.875,111361.04435,10,0,4,0.5348369382457214,4,22,102,False,False,False,광운대,357,5,1135056000
30,11100510,서울특별시,도봉구,서울특별시 도봉구 쌍문1동,0.7692484662576687,0.8957055214723927,0.8098159509202454,0.017638036809815905,0.6612373678080324,101976.98104062499,52,50,20513,13491,0.6577,155050.90625,101976.98104062499,5,0,1,0.3224747356160648,1,20,91,False,False,False,4.19민주묘지,617,6,1132066000
