rank_sido,sido,sgg,adm_nm,score,c_norm,p_norm,t_norm,n_clinic,n_clinic_500m,n_clinic_1km,n_clinic_2km,p_raw,pop_total,pop_40plus,ratio_40plus,catchment_pop_1_5km,density_per_10k,t_raw,t_transit,nearest_station,station_dist_m,n_clinic_station_500m,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,adm_cd,adm_cd10
23,경기도,부천시원미구,경기도 부천시원미구 원미2동,0.6391871165644172,0.4049079754601227,0.9892638036809815,0.11809815950920244,5,10,28,113,129614.37105625,10981,7727,0.7037,184189.8125,0.2714590960344237,41,54,부천,977,34,False,False,False,31051541,4119255000
24,경기도,부천시원미구,경기도 부천시원미구 역곡1동,0.6388036809815952,0.691717791411043,0.6503067484662577,0.3489263803680982,10,4,31,47,86460.33532500001,16005,10486,0.6552,131960.21875,0.757804139363023,34,48,역곡,662,29,False,False,False,31051571,4119257000
25,경기도,부천시소사구,경기도 부천시소사구 송내2동,0.6320552147239265,0.5306748466257669,0.8420245398773006,0.14340490797546013,10,7,32,101,105124.91917499999,23612,14933,0.6324,166231.6875,0.6015700225626356,40,55,중동,774,14,False,False,False,31052541,4119460000
26,경기도,안양시동안구,경기도 안양시동안구 인덕원동,0.6305981595092025,0.803680981595092,0.5030674846625767,0.4256134969325154,23,1,40,95,71356.2441921875,17887,10371,0.5798,123070.4453125,1.8688483609203241,32,38,인덕원,650,18,False,False,False,31042691,4117355900
27,경기도,광명시,경기도 광명시 광명1동,0.6252300613496933,0.745398773006135,0.5414110429447853,0.4616564417177914,0,4,35,164,74403.155640625,15496,7609,0.491,151533.921875,0.0,31,41,개봉,820,27,False,False,False,31060510,4121051000
28,경기도,안양시동안구,경기도 안양시동안구 신촌동,0.6248466257668712,0.6150306748466258,0.7208588957055214,0.2369631901840491,3,6,20,77,91478.7137609375,12215,7057,0.5777,158349.859375,0.18945390995867437,37,45,범계,1130,21,False,False,False,31042660,4117362000
29,경기도,성남시분당구,경기도 성남시분당구 정자2동,0.6200153374233128,0.9202453987730062,0.4049079754601227,0.2369631901840491,1,1,29,81,63769.635421875,13886,8081,0.582,109569.8203125,0.09126600711290182,37,60,정자,889,13,False,False,False,31023550,4113556000
30,경기도,광명시,경기도 광명시 소하1동,0.6162576687116564,0.906441717791411,0.3604294478527607,0.4616564417177914,12,0,11,63,59778.234621874995,28945,17161,0.5929,100823.46875,1.1901990824928843,31,53,금천구청,1332,2,False,True,False,31060660,4121064000
31,경기도,부천시원미구,경기도 부천시원미구 중2동,0.6098159509202454,0.29141104294478526,0.9861963190184049,0.3489263803680982,8,12,47,142,129081.344409375,29123,17885,0.6141,210195.96875,0.3805972135229163,34,58,신중동,660,20,False,False,False,31051651,4119264000
32,경기도,안양시만안구,경기도 안양시만안구 안양7동,0.6082822085889571,0.7530674846625767,0.5766871165644172,0.0989263803680982,10,3,18,90,77851.083640625,14580,7954,0.5455,142715.09375,0.700696733417519,42,49,명학,588,6,False,False,False,31041570,4117157000
33,경기도,안양시만안구,경기도 안양시만안구 안양2동,0.6076687116564418,0.9524539877300613,0.3374233128834356,0.272239263803681,6,0,19,77,58530.953499999996,22114,13445,0.608,96268.015625,0.6232599644904127,36,50,안양,891,23,False,True,False,31041520,4117152000
34,경기도,안양시만안구,경기도 안양시만안구 안양8동,0.6055981595092024,0.848159509202454,0.4892638036809816,0.03757668711656437,2,2,7,31,70492.802625,7830,5199,0.664,106163.859375,0.18838802694007656,46,50,명학,534,6,False,False,False,31041580,4117158000
35,경기도,부천시오정구,경기도 부천시오정구 고강본동,0.6012269938650306,0.5230061349693251,0.6779141104294478,0.6081288343558282,11,7,19,77,88640.32865625,24665,16602,0.6731,131689.6875,0.8352969931681249,27,65,원종,1575,22,False,False,False,31053521,4119654000
36,경기도,안양시동안구,경기도 안양시동안구 부림동,0.5934815950920246,0.6380368098159509,0.6119631901840491,0.3098159509202454,14,5,57,101,81663.717421875,26409,13707,0.519,157348.203125,0.889746417305965,35,41,평촌,598,17,False,False,False,31042580,4117356600
37,경기도,안양시동안구,경기도 안양시동안구 부흥동,0.5933282208588958,0.544478527607362,0.7346625766871165,0.1771472392638037,6,7,30,109,92916.23283593751,15829,9315,0.5885,157886.546875,0.38001971154326697,39,41,범계,632,21,False,False,False,31042540,4117354000
38,경기도,부천시원미구,경기도 부천시원미구 중동,0.5857361963190184,0.2806748466257669,0.9815950920245399,0.1771472392638037,12,12,37,166,128115.287025,21140,12985,0.6142,208588.875,0.5752943439577014,39,52,중동,551,14,False,False,False,31051611,4119262000
